tau1,tau2,tau3
28.7165155448709,5.74069050987766,2.14217422430112
28.9394404125607,5.57891865018295,2.10557318385099
29.1594109080573,5.41441464869629,2.06788226178414
29.3764644870715,5.24722496416489,2.02913213954613
29.5906391673582,5.07739706435502,1.98935421957827
29.8019734994692,4.90497940328787,1.94858060713456
30.0105065374992,4.73002139793813,1.90684409164318
30.2162778098142,4.55257340444659,1.8641781276317
30.4193272897718,4.37268669382593,1.82061681520378
30.6196953664687,4.1904134271967,1.77619488009807
30.8174228155241,4.0058066305773,1.73094765335637
31.012550769914,3.81892016920664,1.68491105056497
31.2051206908754,3.62980872142335,1.63812155071527
31.395174338896,3.43852775213423,1.59061617470051
31.5827537448031,3.24513348586144,1.54243246342814
31.7679011809688,3.04968287939683,1.49360845560097
31.950659132646,2.85223359409983,1.44418266516507
