t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
0.74,1.422402,-0.416252,0.0,-1.087477,-1.96009,0.0,-8.526641,-10.86181,0.0,-0.018891,0.000188,0.0
0.75,1.411338,-0.435851,0.0,-1.106371,-1.959889,0.0,-8.526602,-10.776339,0.0,-0.018894,0.000201,0.0
0.76,1.400085,-0.455447,0.0,-1.12527,-1.959674,0.0,-8.526562,-10.686644,0.0,-0.018899,0.000215,0.0
0.771,1.388644,-0.475042,0.0,-1.144171,-1.959446,0.0,-8.526522,-10.592758,0.0,-0.018901,0.000228,0.0
0.78,1.377013,-0.494632,0.0,-1.163071,-1.959013,0.0,-8.526399,-10.39255,0.0,-0.0189,0.000433,0.0
0.79,1.365193,-0.51422,0.0,-1.181976,-1.958757,0.0,-8.526399,-10.39255,0.0,-0.018905,0.000256,0.0
0.8,1.353184,-0.533804,0.0,-1.200883,-1.958486,0.0,-8.526399,-10.2863,0.0,-0.018907,0.000271,0.0
0.81,1.340986,-0.553386,0.0,-1.219789,-1.958201,0.0,-8.526357,-10.176004,0.0,-0.018906,0.000285,0.0
0.82,1.3286,-0.572965,0.0,-1.238695,-1.957901,0.0,-8.526314,-10.061702,0.0,-0.018906,0.0003,0.0
0.831,1.303258,-0.612114,0.0,-1.276503,-1.957255,0.0,-8.526184,-9.821243,0.0,-0.037808,0.000646,0.0
0.84,1.290304,-0.631683,0.0,-1.295403,-1.956909,0.0,-8.52614,-9.695171,0.0,-0.0189,0.000346,0.0
0.85,1.290304,-0.631683,0.0,-1.295403,-1.956909,0.0,-8.52614,-9.695171,0.0,0.0,0.0,0.0
0.862,1.277161,-0.651251,0.0,-1.314306,-1.956792,0.0,-8.52614,-9.695171,0.0,-0.018903,0.000117,0.0
0.871,1.263829,-0.670815,0.0,-1.333197,-1.956414,0.0,-8.52605,-9.431565,0.0,-0.018891,0.000378,0.0
0.88,1.250309,-0.690375,0.0,-1.352083,-1.95602,0.0,-8.526004,-9.294124,0.0,-0.018886,0.000394,0.0
0.891,1.222701,-0.729483,0.0,-1.389833,-1.955182,0.0,-8.52591,-9.008208,0.0,-0.03775,0.000838,0.0
0.9,1.222701,-0.729483,0.0,-1.389833,-1.955182,0.0,-8.52591,-9.008208,0.0,0.0,0.0,0.0
0.912,1.208614,-0.749031,0.0,-1.408695,-1.954738,0.0,-8.525863,-8.859832,0.0,-0.018862,0.000444,0.0
