t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.230,0.00011887,0.78523175,2.35627013,0.00153347,-0.00214158,0.00097345,0.00000000,0.00000000,0.00000000,-0.00041904,0.79230095,2.35843718,0.00436690,-0.02861137,-0.00600831,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00483757,-22.40407787,-0.26494066,-0.00483757,-22.40407787,-0.26494066,0.00062775,-22.59484605,-0.36246392,0.00053791,-0.00706920,-0.00216705,-0.00283343,0.02646979,0.00698176,0
0.240,0.00013486,0.78520942,2.35628028,0.00166651,-0.00232640,0.00105745,0.00000000,0.00000000,0.00000000,-0.00036818,0.79196723,2.35825609,0.00454647,-0.02980151,-0.00903348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00706111,-22.30837539,-0.20552539,-0.00706111,-22.30837539,-0.20552539,-0.00227268,-22.48807745,-0.31137556,0.00050304,-0.00675781,-0.00197581,-0.00287996,0.02747511,0.01009093,0
0.250,0.00015222,0.78518520,2.35629129,0.00180481,-0.00251839,0.00114472,0.00000000,0.00000000,0.00000000,-0.00031641,0.79162726,2.35805157,0.00470413,-0.03085031,-0.01188808,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00893813,-22.21691930,-0.14409687,-0.00893813,-22.21691930,-0.14409687,-0.00483757,-22.38707950,-0.25471471,0.00046863,-0.00644206,-0.00176028,-0.00289932,0.02833192,0.01303280,0
0.260,0.00017098,0.78515903,2.35630319,0.00194833,-0.00271750,0.00123523,0.00000000,0.00000000,0.00000000,-0.00026391,0.79128155,2.35782933,0.00484060,-0.03178045,-0.01447187,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01046684,-22.12902739,-0.08250706,-0.01046684,-22.12902739,-0.08250706,-0.00706111,-22.29108997,-0.19441377,0.00043489,-0.00612252,-0.00152614,-0.00289227,0.02906295,0.01570710,0
0.270,0.00019120,0.78513083,2.35631601,0.00209704,-0.00292367,0.00132894,0.00000000,0.00000000,0.00000000,-0.00021086,0.79093051,2.35759541,0.00495669,-0.03261144,-0.01670200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01164498,-22.04411008,-0.02248103,-0.01164498,-22.04411008,-0.02248103,-0.00893813,-22.19936709,-0.13240068,0.00040206,-0.00579968,-0.00127940,-0.00285965,0.02968777,0.01803094,0
0.280,0.00021294,0.78510053,2.35632978,0.00225091,-0.00313686,0.00142584,0.00000000,0.00000000,0.00000000,-0.00015743,0.79057448,2.35735588,0.00505322,-0.03335931,-0.01851478,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01247133,-21.96168890,0.03443755,-0.01247133,-21.96168890,0.03443755,-0.01046684,-22.11122593,-0.07053049,0.00037037,-0.00547395,-0.00102610,-0.00280231,0.03022245,0.01994062,0
0.290,0.00023624,0.78506807,2.35634453,0.00240991,-0.00335700,0.00152591,0.00000000,0.00000000,0.00000000,-0.00010379,0.79021380,2.35711666,0.00513106,-0.03403635,-0.01986655,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01294663,-21.88141016,0.08692836,-0.01294663,-21.88141016,0.08692836,-0.01164498,-22.02607635,-0.01052009,0.00034003,-0.00514573,-0.00077213,-0.00272115,0.03067935,0.02139246,0
0.300,0.00026115,0.78503337,2.35636031,0.00257400,-0.00358404,0.00162911,0.00000000,0.00000000,0.00000000,-0.00005008,0.78984885,2.35688331,0.00519113,-0.03465114,-0.02073365,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01307220,-21.80306049,0.13392730,-0.01307220,-21.80306049,0.13392730,-0.01247133,-21.94344115,0.04610501,0.00031123,-0.00481548,-0.00052300,-0.00261713,0.03106710,0.02236276,0
0.310,0.00028773,0.78499636,2.35637713,0.00274316,-0.00381793,0.00173542,0.00000000,0.00000000,0.00000000,0.00000357,0.78948004,2.35666086,0.00523437,-0.03520869,-0.02111161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01284952,-21.72656082,0.17463550,-0.01284952,-21.72656082,0.17463550,-0.01294663,-21.86296949,0.09805111,0.00028416,-0.00448368,-0.00028373,-0.00249121,0.03139076,0.02284703,0
0.320,0.00031603,0.78495699,2.35639503,0.00291735,-0.00405860,0.00184482,0.00000000,0.00000000,0.00000000,0.00005700,0.78910787,2.35645366,0.00526176,-0.03571074,-0.02101375,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01228174,-21.65195775,0.20853520,-0.01228174,-21.65195775,0.20853520,-0.01307220,-21.78445203,0.14428739,0.00025903,-0.00415088,-0.00005863,-0.00234441,0.03165214,0.02285857,0
0.330,0.00034610,0.78491517,2.35641403,0.00309653,-0.00430602,0.00195728,0.00000000,0.00000000,0.00000000,0.00011012,0.78873294,2.35626530,0.00527430,-0.03615621,-0.02046914,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01137293,-21.57942632,0.23537686,-0.01137293,-21.57942632,0.23537686,-0.01284952,-21.70781451,0.18405315,0.00023598,-0.00381777,0.00014873,-0.00217777,0.03185019,0.02242642,0
0.340,0.00037798,0.78487084,2.35643418,0.00328068,-0.00456012,0.00207278,0.00000000,0.00000000,0.00000000,0.00016282,0.78835596,2.35609857,0.00527304,-0.03654165,-0.01952015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01012835,-21.50923734,0.25517168,-0.01012835,-21.50923734,0.25517168,-0.01228174,-21.63310876,0.21687179,0.00021516,-0.00348512,0.00033561,-0.00199236,0.03198153,0.02159293,0
0.350,0.00041173,0.78482394,2.35645550,0.00346977,-0.00482085,0.00219130,0.00000000,0.00000000,0.00000000,0.00021499,0.78797774,2.35595538,0.00525904,-0.03686184,-0.01821976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00855334,-21.44174608,0.26815889,-0.00855334,-21.44174608,0.26815889,-0.01137293,-21.56051512,0.24253615,0.00019674,-0.00315380,0.00050012,-0.00178927,0.03204099,0.02041106,0
0.360,0.00044739,0.78477440,2.35647802,0.00366376,-0.00508816,0.00231280,0.00000000,0.00000000,0.00000000,0.00026655,0.78759918,2.35583683,0.00523342,-0.03711035,-0.01662861,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00665528,-21.37737184,0.27478116,-0.00665528,-21.37737184,0.27478116,-0.01012835,-21.49030940,0.26109926,0.00018084,-0.00282478,0.00064119,-0.00156966,0.03202219,0.01894141,0
0.370,0.00048502,0.78472216,2.35650176,0.00386262,-0.00536198,0.00243726,0.00000000,0.00000000,0.00000000,0.00031744,0.78722128,2.35574321,0.00519728,-0.03728017,-0.01481211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00444139,-21.31657044,0.27564694,-0.00444139,-21.31657044,0.27564694,-0.00855334,-21.42285127,0.27284020,0.00016758,-0.00249912,0.00075855,-0.00133466,0.03191819,0.01724937,0
0.380,0.00052466,0.78466714,2.35652677,0.00406632,-0.00564228,0.00256467,0.00000000,0.00000000,0.00000000,0.00036760,0.78684512,2.35567407,0.00515180,-0.03736422,-0.01283758,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00192078,-21.25981930,0.27149805,-0.00192078,-21.25981930,0.27149805,-0.00665528,-21.35856365,0.27823816,0.00015706,-0.00217798,0.00085270,-0.00108548,0.03172194,0.01540225,0
0.390,0.00056636,0.78460929,2.35655307,0.00427483,-0.00592899,0.00269499,0.00000000,0.00000000,0.00000000,0.00041697,0.78647181,2.35562833,0.00509814,-0.03735591,-0.01077159,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00089703,-21.20758243,0.26316074,0.00089703,-21.20758243,0.26316074,-0.00444139,-21.29790494,0.27793375,0.00014939,-0.00186252,0.00092474,-0.00082331,0.03142692,0.01346658,0
0.400,0.00061017,0.78454854,2.35658068,0.00448811,-0.00622206,0.00282821,0.00000000,0.00000000,0.00000000,0.00046552,0.78610250,2.35560438,0.00503751,-0.03724959,-0.00867755,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00400156,-21.16030183,0.25151128,0.00400156,-21.16030183,0.25151128,-0.00192078,-21.24135399,0.27269577,0.00014465,-0.00155396,0.00097630,-0.00054940,0.03102753,0.01150576,0
