t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.200,0.00009140,0.78532252,2.35625595,0.00135948,-0.00112509,0.00091414,0.01336443,-0.01106022,0.00898643,0.00068256,0.77814938,2.35764059,0.00163680,-0.01310379,0.00442848,0.07442588,-21.92875671,-0.00474847,0.07442588,-21.92875671,-0.00474847,-0.00943243,0.23945974,-0.02679998,0.06499346,-21.68929698,-0.03154846,0.05750435,-21.67509432,-0.03620652,-0.00059116,0.00717314,-0.00138464,-0.00027732,0.01197870,-0.00351434,0
0.210,0.00010568,0.78531071,2.35626555,0.00149629,-0.00123831,0.00100613,0.01399658,-0.01158338,0.00941150,0.00070059,0.77804206,2.35765518,0.00167832,-0.01251074,0.00368631,0.07802533,-21.93218803,-0.00491065,0.07802533,-21.93218803,-0.00491065,-0.00929868,0.23833059,-0.02478094,0.06872666,-21.69385745,-0.02969159,0.06125275,-21.67956369,-0.03410151,-0.00059491,0.00726865,-0.00138963,-0.00018203,0.01127243,-0.00268018,0
0.220,0.00012135,0.78529774,2.35627609,0.00163941,-0.00135675,0.00110236,0.01462535,-0.01210374,0.00983429,0.00071927,0.77794045,2.35766359,0.00172595,-0.01192341,0.00297479,0.08160559,-21.93562317,-0.00507173,0.08160559,-21.93562317,-0.00507173,-0.00915356,0.23703256,-0.02273516,0.07245203,-21.69859061,-0.02780690,0.06499346,-21.68421627,-0.03196857,-0.00059792,0.00735729,-0.00138750,-0.00008654,0.01056666,-0.00187243,0
0.230,0.00013849,0.78528355,2.35628761,0.00178879,-0.00148038,0.00120281,0.01525072,-0.01262129,0.01025480,0.00073868,0.77784445,2.35766617,0.00177972,-0.01134259,0.00229560,0.08516666,-21.93907547,-0.00523336,0.08516666,-21.93907547,-0.00523336,-0.00899700,0.23557043,-0.02067123,0.07616966,-21.70350504,-0.02590460,0.06872666,-21.68905739,-0.02982061,-0.00060019,0.00743910,-0.00137856,0.00000907,0.00986221,-0.00109279,0
0.240,0.00015715,0.78526811,2.35630016,0.00194441,-0.00160917,0.00130745,0.01587272,-0.01313605,0.01067304,0.00075888,0.77775397,2.35766331,0.00183967,-0.01076898,0.00165018,0.08870856,-21.94254112,-0.00539867,0.08870856,-21.94254112,-0.00539867,-0.00882929,0.23394949,-0.01859711,0.07987927,-21.70859163,-0.02399578,0.07245203,-21.69406653,-0.02766386,-0.00060173,0.00751414,-0.00136315,0.00010474,0.00915981,-0.00034273,0
0.250,0.00017739,0.78525135,2.35631377,0.00210623,-0.00174309,0.00141626,0.01649135,-0.01364801,0.01108901,0.00077992,0.77766891,2.35765539,0.00190583,-0.01020324,0.00103975,0.09223196,-21.94602394,-0.00556241,0.09223196,-21.94602394,-0.00556241,-0.00865062,0.23217389,-0.01652052,0.08358134,-21.71385005,-0.02208294,0.07616966,-21.69925202,-0.02550883,-0.00060253,0.00758244,-0.00134162,0.00020040,0.00846015,0.00037651,0
0.260,0.00019929,0.78523323,2.35632850,0.00227422,-0.00188212,0.00152922,0.01710660,-0.01415719,0.01150271,0.00080188,0.77758916,2.35764281,0.00197822,-0.00964598,0.00046532,0.09573589,-21.94952011,-0.00572885,0.09573589,-21.94952011,-0.00572885,-0.00846083,0.23024830,-0.01444833,0.08727505,-21.71927181,-0.02017719,0.07987927,-21.70460452,-0.02336680,-0.00060259,0.00764407,-0.00131431,0.00029600,0.00776386,0.00106390,0
0.270,0.00022290,0.78521369,2.35634437,0.00244835,-0.00202622,0.00164631,0.01771849,-0.01466358,0.01191416,0.00082481,0.77751463,2.35762596,0.00205688,-0.00909777,-0.00007227,0.09922083,-21.95303345,-0.00589333,0.09922083,-21.95303345,-0.00589333,-0.00826026,0.22817692,-0.01238754,0.09096058,-21.72485653,-0.01828087,0.08358134,-21.71012349,-0.02124041,-0.00060191,0.00769906,-0.00128159,0.00039147,0.00707155,0.00171858,0
0.280,0.00024828,0.78519269,2.35636144,0.00262858,-0.00217538,0.00176750,0.01832703,-0.01516720,0.01232335,0.00084877,0.77744520,2.35760523,0.00214181,-0.00855913,-0.00057236,0.10268679,-21.95657349,-0.00606335,0.10268679,-21.95657349,-0.00606335,-0.00804907,0.22596418,-0.01034423,0.09463772,-21.73060931,-0.01640758,0.08727505,-21.71580022,-0.01914087,-0.00060049,0.00774749,-0.00124379,0.00048677,0.00638375,0.00233986,0
0.290,0.00027549,0.78517017,2.35637973,0.00281488,-0.00232956,0.00189277,0.01893221,-0.01566804,0.01273028,0.00087384,0.77738075,2.35758103,0.00223306,-0.00803053,-0.00103442,0.10613418,-21.96012688,-0.00623148,0.10613418,-21.96012688,-0.00623148,-0.00782743,0.22361408,-0.00832465,0.09830676,-21.73651280,-0.01455613,0.09096058,-21.72163415,-0.01707057,-0.00059835,0.00778942,-0.00120130,0.00058182,0.00570097,0.00292719,0
0.300,0.00030460,0.78514608,2.35639931,0.00300722,-0.00248873,0.00202209,0.01953405,-0.01616611,0.01313497,0.00090007,0.77732117,2.35755374,0.00233063,-0.00751245,-0.00145809,0.10956272,-21.96370125,-0.00640302,0.10956272,-21.96370125,-0.00640302,-0.00759535,0.22113077,-0.00633402,0.10196737,-21.74257048,-0.01273704,0.09463772,-21.72763021,-0.01504304,-0.00059547,0.00782491,-0.00115443,0.00067659,0.00502372,0.00348018,0
0.310,0.00033566,0.78512038,2.35642019,0.00320555,-0.00265287,0.00215546,0.02013255,-0.01666142,0.01353741,0.00092754,0.77726633,2.35752375,0.00243456,-0.00700530,-0.00184311,0.11297221,-21.96730232,-0.00657453,0.11297221,-21.96730232,-0.00657453,-0.00735318,0.21851852,-0.00437794,0.10561903,-21.74878380,-0.01095247,0.09830676,-21.73377086,-0.01305704,-0.00059188,0.00785405,-0.00110356,0.00077099,0.00435243,0.00399857,0
0.320,0.00036873,0.78509301,2.35644243,0.00340986,-0.00282195,0.00229283,0.02072772,-0.01715398,0.01393760,0.00095629,0.77721611,2.35749147,0.00254486,-0.00650949,-0.00218938,0.11636318,-21.97092819,-0.00674853,0.11636318,-21.97092819,-0.00674853,-0.00710106,0.21578108,-0.00246112,0.10926212,-21.75514711,-0.00920965,0.10196737,-21.74005945,-0.01112295,-0.00058756,0.00787690,-0.00104904,0.00086500,0.00368754,0.00448221,0
0.330,0.00040387,0.78506392,2.35646606,0.00362010,-0.00299594,0.00243420,0.02131956,-0.01764377,0.01433557,0.00098641,0.77717038,2.35745728,0.00266155,-0.00602539,-0.00249688,0.11973537,-21.97457886,-0.00692330,0.11973537,-21.97457886,-0.00692330,-0.00683918,0.21292243,-0.00058822,0.11289618,-21.76165643,-0.00751153,0.10561903,-21.74649726,-0.00924278,-0.00058254,0.00789354,-0.00099122,0.00095855,0.00302945,0.00493108,0
0.340,0.00044115,0.78503307,2.35649113,0.00383624,-0.00317482,0.00257954,0.02190808,-0.01813082,0.01473129,0.00101795,0.77712901,2.35742156,0.00278465,-0.00555335,-0.00276572,0.12308919,-21.97825241,-0.00709951,0.12308919,-21.97825241,-0.00709951,-0.00656758,0.20994667,0.00123661,0.11652161,-21.76830574,-0.00586290,0.10926212,-21.75307850,-0.00742353,-0.00057680,0.00790406,-0.00093043,0.00105159,0.00237853,0.00534526,0
0.350,0.00048062,0.78500041,2.35651766,0.00405825,-0.00335855,0.00272882,0.02249328,-0.01861513,0.01512479,0.00105098,0.77709186,2.35738468,0.00291418,-0.00509369,-0.00299611,0.12642400,-21.98195648,-0.00727799,0.12642400,-21.98195648,-0.00727799,-0.00628656,0.20685773,0.00300915,0.12013744,-21.77509875,-0.00426884,0.11289618,-21.75979907,-0.00566789,-0.00057036,0.00790855,-0.00086702,0.00114407,0.00173514,0.00572493,0
0.360,0.00052233,0.78496589,2.35654571,0.00428609,-0.00354711,0.00288203,0.02307517,-0.01909669,0.01551606,0.00108556,0.77705880,2.35734703,0.00305017,-0.00464672,-0.00318835,0.12974060,-21.98568916,-0.00745642,0.12974060,-21.98568916,-0.00745642,-0.00599648,0.20365936,0.00472608,0.12374412,-21.78202980,-0.00273034,0.11652161,-21.76665283,-0.00398037,-0.00056323,0.00790709,-0.00080132,0.00123592,0.00109961,0.00607038,0
0.370,0.00056636,0.78492945,2.35657532,0.00451974,-0.00374047,0.00303913,0.02365376,-0.01957553,0.01590512,0.00112176,0.77702970,2.35730897,0.00319262,-0.00421273,-0.00334283,0.13303819,-21.98945618,-0.00763828,0.13303819,-21.98945618,-0.00763828,-0.00569718,0.20035509,0.00638405,0.12734101,-21.78910109,-0.00125423,0.12013744,-21.77364337,-0.00236570,-0.00055540,0.00789975,-0.00073365,0.00132712,0.00047226,0.00638196,0
0.380,0.00061275,0.78489106,2.35660651,0.00475915,-0.00393861,0.00320012,0.02422905,-0.02005163,0.01629195,0.00115964,0.77700440,2.35727085,0.00334156,-0.00379198,-0.00346003,0.13631791,-21.99324799,-0.00782011,0.13631791,-21.99324799,-0.00782011,-0.00538919,0.19694908,0.00797985,0.13092872,-21.79629891,0.00015974,0.12374412,-21.78076494,-0.00082452,-0.00054689,0.00788666,-0.00066434,0.00141759,-0.00014663,0.00666015,0
0.390,0.00066156,0.78485067,2.35663933,0.00500431,-0.00414150,0.00336497,0.02480105,-0.02052501,0.01667657,0.00119928,0.77698277,2.35723303,0.00349700,-0.00338471,-0.00354051,0.13957906,-21.99707222,-0.00800743,0.13957906,-21.99707222,-0.00800743,-0.00507264,0.19344503,0.00951087,0.13450642,-21.80362719,0.00150344,0.12734101,-21.78801963,0.00063674,-0.00053772,0.00786790,-0.00059370,0.00150731,-0.00075679,0.00690548,0
