t,q_des_1,q_des_2,q_des_3,q_act_1,q_act_2,q_act_3,dv1,dv2,dv3,qd1,qd2,qd3,tau_total_1,tau_total_2,tau_total_3,tau_sensed1,tau_sensed2,tau_sensed3
0.670,0.00275685,0.78159345,2.35792390,-0.00090693,0.79633580,2.35082043,0.01193914,-0.01634869,0.00743122,-0.00112085,0.01537470,-0.01653333,0.34691033,-4.14605667,1.30310683,0.00000000,-21.84543889,0.00796811
0.680,0.00287791,0.78142772,2.35799924,-0.00091676,0.79647297,2.35066331,0.01227367,-0.01679880,0.00763582,-0.00108638,0.01496035,-0.01632806,0.35728433,-4.21169888,1.33945894,0.00000000,-21.84522366,0.00785612
0.690,0.00300233,0.78125746,2.35807663,-0.00092623,0.79660579,2.35050849,0.01261208,-0.01725378,0.00784263,-0.00105152,0.01454079,-0.01611664,0.36785668,-4.27744038,1.37578062,0.00000000,-21.84500608,0.00774119
0.700,0.00313016,0.78108263,2.35815610,-0.00093534,0.79673421,2.35035602,0.01295436,-0.01771359,0.00805163,-0.00101630,0.01411619,-0.01589917,0.37862991,-4.34328452,1.41206836,-0.00000000,-21.84478622,0.00762338
0.710,0.00326143,0.78090317,2.35823767,-0.00094408,0.79685820,2.35020596,0.01330048,-0.01817817,0.00826280,-0.00098072,0.01368672,-0.01567573,0.38960532,-4.40923834,1.44831728,0.00000000,-21.84456418,0.00750271
0.720,0.00339618,0.78071905,2.35832136,-0.00095245,0.79697770,2.35005838,0.01365040,-0.01864748,0.00847613,-0.00094479,0.01325255,-0.01544643,0.40078461,-4.47530401,1.48452279,0.00000000,-21.84434005,0.00737926
0.730,0.00353445,0.78053021,2.35840720,-0.00096045,0.79709268,2.34991332,0.01400409,-0.01912146,0.00869157,-0.00090854,0.01281385,-0.01521135,0.41216961,-4.54148938,1.52068156,0.00000000,-21.84411390,0.00725306
0.740,0.00367628,0.78033660,2.35849520,-0.00096807,0.79720309,2.34977083,0.01436154,-0.01960008,0.00890913,-0.00087197,0.01237079,-0.01497061,0.42376239,-4.60780179,1.55678804,0.00000000,-21.84388583,0.00712418
0.750,0.00382170,0.78013819,2.35858539,-0.00097532,0.79730891,2.34963098,0.01472270,-0.02008328,0.00912876,-0.00083511,0.01192354,-0.01472429,0.43556407,-4.67424392,1.59283926,0.00000000,-21.84365592,0.00699267
0.760,0.00397074,0.77993492,2.35867778,-0.00098218,0.79741009,2.34949381,0.01508755,-0.02057101,0.00935046,-0.00079796,0.01147228,-0.01447250,0.44757612,-4.74082524,1.62882993,-0.00000000,-21.84342427,0.00685858
0.770,0.00412346,0.77972675,2.35877240,-0.00098866,0.79750661,2.34935937,0.01545606,-0.02106322,0.00957419,-0.00076054,0.01101718,-0.01421536,0.45980141,-4.80755159,1.66475755,0.00000000,-21.84319097,0.00672196
0.780,0.00427988,0.77951364,2.35886927,-0.00099476,0.79759844,2.34922771,0.01582820,-0.02155987,0.00979994,-0.00072286,0.01055843,-0.01395296,0.47224082,-4.87442961,1.70061860,0.00000000,-21.84295611,0.00658289
0.790,0.00444003,0.77929554,2.35896841,-0.00100047,0.79768553,2.34909888,0.01620395,-0.02206090,0.01002768,-0.00068495,0.01009620,-0.01368542,0.48489586,-4.94146763,1.73640956,0.00000000,-21.84271977,0.00644140
0.800,0.00460397,0.77907241,2.35906983,-0.00100580,0.79776787,2.34897293,0.01658326,-0.02256628,0.01025740,-0.00064681,0.00963066,-0.01341285,0.49776920,-5.00867346,1.77212578,0.00000000,-21.84248206,0.00629757
0.810,0.00477171,0.77884420,2.35917356,-0.00101073,0.79784543,2.34884990,0.01696613,-0.02307595,0.01048907,-0.00060846,0.00916201,-0.01313537,0.51086160,-5.07605625,1.80776562,0.00000000,-21.84224306,0.00615146
0.820,0.00494330,0.77861088,2.35927962,-0.00102716,0.79815635,2.34861871,0.01735251,-0.02358986,0.01072266,-0.00086694,0.01464444,-0.01563147,0.52833417,-5.39970420,1.88780259,0.49776920,-5.02421933,1.78368567
0.830,0.00511877,0.77837239,2.35938802,-0.00105478,0.79869841,2.34828591,0.01774237,-0.02410796,0.01095817,-0.00134087,0.02453495,-0.02004352,0.54919779,-5.92523972,2.00269699,0.51086160,-5.10315949,1.82440545
0.840,0.00529816,0.77812870,2.35949879,-0.00109298,0.79946432,2.34786839,0.01813570,-0.02463022,0.01119555,-0.00196059,0.03754882,-0.02547064,0.57258785,-6.60629799,2.14093032,0.52833417,-5.43799941,1.90867859
0.850,0.00548150,0.77787977,2.35961194,-0.00114085,0.80044274,2.34739104,0.01853246,-0.02515658,0.01143481,-0.00266712,0.05262214,-0.03103669,0.59775296,-7.40343882,2.29002092,0.54919779,-5.97416078,2.02656441
0.860,0.00566882,0.77762556,2.35972749,-0.00119727,0.80161933,2.34688442,0.01893262,-0.02568699,0.01167590,-0.00341093,0.06888147,-0.03594303,0.62404502,-8.28327927,2.43740768,0.57258785,-6.66512771,2.16626134
0.870,0.00586016,0.77736602,2.35984546,-0.00126098,0.80297763,2.34638242,0.01933616,-0.02622141,0.01191882,-0.00415086,0.08561856,-0.03950734,0.65090862,-9.21779248,2.57118674,0.59775296,-7.47135373,2.31512107
0.880,0.00605556,0.77710112,2.35996587,-0.00133057,0.80449984,2.34592005,0.01974304,-0.02675979,0.01216354,-0.00485302,0.10226903,-0.04118981,0.67786942,-10.18371239,2.68070296,0.62404502,-8.35938950,2.46052629
0.890,0.00625503,0.77683081,2.36008874,-0.00140457,0.80616752,2.34553143,0.02015324,-0.02730208,0.01241004,-0.00548982,0.11839381,-0.04060774,0.70452312,-11.16203114,2.75699928,0.65090862,-9.30117655,2.59061751
0.900,0.00645863,0.77655506,2.36021408,-0.00148144,0.80796221,2.34524805,0.02056673,-0.02784824,0.01265829,-0.00603912,0.13366258,-0.03754024,0.73052991,-12.13753166,2.79312508,0.67786942,-10.27344683,2.69487183
0.910,0.00666638,0.77627383,2.36034191,-0.00155961,0.80986588,2.34509730,0.02098349,-0.02839823,0.01290828,-0.00648342,0.14783881,-0.03192412,0.75560209,-13.09836609,2.78431810,0.70452312,-11.25721488,2.76453716
0.920,0.00687831,0.77598709,2.36047225,-0.00163747,0.81186135,2.34510131,0.02140348,-0.02895198,0.01315999,-0.00680920,0.16076591,-0.02384267,0.77949897,-14.03564443,2.72806044,0.73052991,-12.23730527,2.79292424
0.930,0.00709446,0.77569478,2.36060512,-0.00171345,0.81393255,2.34527624,0.02182667,-0.02950947,0.01341339,-0.00700629,0.17235443,-0.01350871,0.80202094,-14.94305329,2.62402811,0.75560209,-13.20192608,2.77557151
0.940,0.00731486,0.77539688,2.36074053,-0.00178596,0.81606472,2.34563177,0.02225305,-0.03007063,0.01366847,-0.00706741,0.18257005,-0.00124337,0.82300308,-15.81645812,2.47394651,0.77949897,-14.14225289,2.71028412
0.950,0.00753953,0.77509336,2.36087849,-0.00185344,0.81824452,2.34617098,0.02268258,-0.03063544,0.01392520,-0.00698771,0.19142248,0.01254782,0.84230984,-16.65354877,2.28137164,0.80202094,-15.05204316,2.59706741
0.960,0.00776852,0.77478416,2.36101904,-0.00191439,0.82046005,2.34689057,0.02311523,-0.03120383,0.01418356,-0.00676437,0.19895515,0.02740042,0.85983344,-17.45348714,2.05141638,0.82300308,-15.92723471,2.43796741
0.970,0.00800185,0.77446927,2.36116217,-0.00196731,0.82270084,2.34778122,0.02355097,-0.03177577,0.01444353,-0.00639629,0.20523594,0.04281657,0.87548720,-18.21656021,1.79041874,0.84230984,-16.76558792,2.23683912
0.980,0.00823955,0.77414864,2.36130791,-0.00201077,0.82495771,2.34882831,0.02398979,-0.03235120,0.01470509,-0.00588383,0.21034872,0.05828972,0.88920482,-18.94388460,1.50561181,0.85983344,-17.56633067,1.99906179
0.990,0.00848165,0.77382223,2.36145628,-0.00204340,0.82722269,2.35001271,0.02443165,-0.03293009,0.01496822,-0.00522855,0.21438607,0.07332735,0.90093667,-19.63711576,1.20476618,0.87548720,-18.32980928,1.73119861
1.000,0.00872819,0.77349002,2.36160728,-0.00206386,0.82948883,2.35131174,0.02487652,-0.03351239,0.01523290,-0.00443302,0.21744302,0.08747113,0.91064864,-20.29819271,0.89584595,0.88920482,-19.05719153,1.44066057
1.010,0.00897919,0.77315197,2.36176094,-0.00207090,0.83175001,2.35270015,0.02532438,-0.03409805,0.01549911,-0.00350067,0.21961187,0.10031379,0.91831876,-20.92913045,0.58669524,0.90093667,-19.75017497,1.13534530
1.020,0.00923469,0.77280805,2.36191727,-0.00206330,0.83400078,2.35415123,0.02577519,-0.03468703,0.01576683,-0.00243561,0.22097819,0.11151238,0.92393736,-21.53183519,0.28474205,0.91064864,-20.41073128,0.82329188
1.030,0.00949471,0.77245822,2.36207628,-0.00203994,0.83623615,2.35563777,0.02622894,-0.03527928,0.01603604,-0.00124256,0.22161780,0.12079775,0.92750437,-22.10796679,-0.00324651,0.91831876,-21.04089877,0.51236829
1.040,0.00975928,0.77210245,2.36223799,-0.00199973,0.83845141,2.35713305,0.02668560,-0.03587476,0.01630671,0.00007328,0.22159490,0.12798019,0.92902923,-22.65883267,-0.27136339,0.92393736,-21.64259829,0.20997829
1.050,0.01002843,0.77174072,2.36240242,-0.00194168,0.84064200,2.35861169,0.02714514,-0.03647342,0.01657883,0.00150628,0.22096101,0.13295127,0.92852973,-23.18532112,-0.51471265,0.92750437,-22.21749646,-0.07717875
1.060,0.01030219,0.77137298,2.36256958,-0.00186485,0.84280337,2.36005045,0.02760752,-0.03707523,0.01685238,0.00305046,0.21975486,0.13568233,0.92603133,-23.68787882,-0.72950910,0.92902923,-22.76690087,-0.34330115
1.070,0.01058059,0.77099920,2.36273947,-0.00176838,0.84493084,2.36142878,0.02807273,-0.03768013,0.01712733,0.00469954,0.21800297,0.13621993,0.92156699,-24.16649852,-0.91312507,0.92852973,-23.29169478,-0.58362901
1.080,0.01086365,0.77061936,2.36291213,-0.00165148,0.84701958,2.36272932,0.02854074,-0.03828808,0.01740367,0.00644699,0.21572084,0.13467861,0.91517576,-24.62074932,-1.06408108,0.92603133,-23.79231604,-0.79453642
1.090,0.01115141,0.77023343,2.36308755,-0.00151345,0.84906454,2.36393823,0.02901153,-0.03889903,0.01768138,0.00828601,0.21291457,0.13123167,0.90690421,-25.04982861,-1.18201438,0.92156699,-24.26874642,-0.97357049
1.100,0.01144389,0.76984137,2.36326576,-0.00135365,0.85106042,2.36504530,0.02948505,-0.03951295,0.01796043,0.01020964,0.20958291,0.12610042,0.89680377,-25.45262956,-1.26758248,0.91517576,-24.72054328,-1.11943442
1.110,0.01174112,0.76944316,2.36344676,-0.00117151,0.85300171,2.36604398,0.02996130,-0.04012979,0.01824081,0.01221073,0.20571936,0.11954249,0.88493288,-25.82781292,-1.32235879,0.90690421,-25.14689297,-1.23194874
1.120,0.01204313,0.76903877,2.36363058,-0.00096655,0.85488271,2.36693130,0.03044023,-0.04074950,0.01852250,0.01428197,0.20131451,0.11183974,0.87135511,-26.17390019,-1.34868581,0.89680377,-25.54667953,-1.31194823
1.130,0.01234994,0.76862816,2.36381722,-0.00073837,0.85669760,2.36770756,0.03092183,-0.04137204,0.01880547,0.01641592,0.19635819,0.10328626,0.85613953,-26.48936367,-1.34952931,0.88493288,-25.91855753,-1.36117170
1.140,0.01266157,0.76821132,2.36400669,-0.00048665,0.85844052,2.36837605,0.03140607,-0.04199737,0.01908971,0.01860502,0.19084160,0.09417698,0.83936024,-26.77270631,-1.32830861,0.87135511,-26.26104610,-1.38211038
