t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.360,0.00006219,0.78538031,2.35616685,0.00051436,-0.00014764,-0.00022860,0.00281403,-0.00080773,-0.00125068,-0.00110255,0.78663392,2.35353647,-0.00173208,-0.01541302,0.00665317,0.00365813,-21.86138591,-0.00036064,0.12485175,0.18324176,0.05116455,0.12850988,-21.67814415,0.05080391,0.11587584,-21.70230656,0.04199830,0.00116474,-0.00125361,0.00263038,0.00224644,0.01526538,-0.00688177
0.370,0.00006748,0.78537879,2.35616450,0.00054287,-0.00015582,-0.00024128,0.00288849,-0.00082910,-0.00128377,-0.00111366,0.78648017,2.35361899,-0.00157690,-0.01540359,0.00705280,0.00375495,-21.86144777,-0.00038813,0.13041929,0.19793496,0.05331698,0.13417424,-21.66351281,0.05292885,0.12240802,-21.68597304,0.04434332,0.00118114,-0.00110138,0.00254551,0.00211977,0.01524777,-0.00729408
0.380,0.00007305,0.78537719,2.35616202,0.00057213,-0.00016422,-0.00025428,0.00296276,-0.00085042,-0.00131678,-0.00112285,0.78632765,2.35370537,-0.00141235,-0.01536566,0.00744917,0.00385152,-21.86151290,-0.00041703,0.13554290,0.21173019,0.05525886,0.13939442,-21.64978272,0.05484183,0.12850988,-21.67051822,0.04648476,0.00119590,-0.00095046,0.00245665,0.00198448,0.01520144,-0.00770345
0.390,0.00007893,0.78537551,2.35615941,0.00060213,-0.00017283,-0.00026761,0.00303682,-0.00087168,-0.00134970,-0.00113003,0.78617662,2.35379555,-0.00123898,-0.01530013,0.00784127,0.00394782,-21.86158132,-0.00044734,0.14021911,0.22461518,0.05698888,0.14416694,-21.63696614,0.05654154,0.13417424,-21.65596102,0.04842007,0.00120896,-0.00080111,0.00236386,0.00184111,0.01512730,-0.00810888
0.400,0.00008510,0.78537374,2.35615667,0.00063286,-0.00018166,-0.00028127,0.00311069,-0.00089288,-0.00138253,-0.00113516,0.78602730,2.35388943,-0.00105735,-0.01520796,0.00822807,0.00404388,-21.86165330,-0.00047913,0.14444296,0.23657813,0.05850589,0.14848684,-21.62507517,0.05802677,0.13939442,-21.64231699,0.05014760,0.00122026,-0.00065356,0.00226724,0.00169021,0.01502630,-0.00850934
0.410,0.00009158,0.78537188,2.35615379,0.00066434,-0.00019069,-0.00029526,0.00318435,-0.00091403,-0.00141527,-0.00113816,0.78587993,2.35398693,-0.00086806,-0.01509013,0.00860853,0.00413967,-21.86172894,-0.00051246,0.14821338,0.24761223,0.05980980,0.15235305,-21.61411671,0.05929734,0.14416694,-21.62959782,0.05166657,0.00122974,-0.00050805,0.00216686,0.00153240,0.01489944,-0.00890379
0.420,0.00009839,0.78536992,2.35615076,0.00069655,-0.00019994,-0.00030958,0.00325783,-0.00093512,-0.00144792,-0.00113899,0.78573473,2.35408794,-0.00067168,-0.01494766,0.00898166,0.00423523,-21.86180858,-0.00054747,0.15152966,0.25771145,0.06090072,0.15576489,-21.60409713,0.06035325,0.14848684,-21.61781506,0.05297626,0.00123738,-0.00036481,0.00206282,0.00136823,0.01474772,-0.00929124
0.430,0.00010552,0.78536788,2.35614759,0.00072949,-0.00020939,-0.00032422,0.00333110,-0.00095615,-0.00148049,-0.00113759,0.78559190,2.35419235,-0.00046883,-0.01478159,0.00934642,0.00433052,-21.86189157,-0.00058396,0.15439360,0.26687847,0.06178075,0.15872412,-21.59501310,0.06119679,0.15235305,-21.60697501,0.05407698,0.00124311,-0.00022402,0.00195524,0.00119832,0.01457220,-0.00967064
0.440,0.00011298,0.78536573,2.35614428,0.00076317,-0.00021906,-0.00033919,0.00340418,-0.00097712,-0.00151297,-0.00113393,0.78545163,2.35430003,-0.00026010,-0.01459301,0.00970183,0.00442557,-21.86197879,-0.00062212,0.15680595,0.27511033,0.06245084,0.16123152,-21.58686846,0.06182872,0.15576489,-21.59708350,0.05496921,0.00124691,-0.00008590,0.00184425,0.00102327,0.01437395,-0.01004102
0.450,0.00012078,0.78536349,2.35614081,0.00079758,-0.00022893,-0.00035448,0.00347706,-0.00099804,-0.00154536,-0.00112797,0.78531410,2.35441085,-0.00004611,-0.01438301,0.01004690,0.00452036,-21.86206980,-0.00066197,0.15877123,0.28241364,0.06291382,0.16329159,-21.57965616,0.06225185,0.15872412,-21.58813658,0.05565573,0.00124875,0.00004939,0.00172996,0.00084369,0.01415408,-0.01040138
0.460,0.00012893,0.78536115,2.35613719,0.00083271,-0.00023902,-0.00037009,0.00354974,-0.00101891,-0.00157766,-0.00111968,0.78517948,2.35452467,0.00017254,-0.01415273,0.01038067,0.00461489,-21.86216483,-0.00070349,0.16029393,0.28879436,0.06317263,0.16490882,-21.57337047,0.06246914,0.16123152,-21.58013753,0.05613773,0.00124861,0.00018167,0.00161252,0.00066017,0.01391371,-0.01075076
0.470,0.00013744,0.78535871,2.35613341,0.00086857,-0.00024931,-0.00038603,0.00362222,-0.00103971,-0.00160988,-0.00110905,0.78504793,2.35464134,0.00039523,-0.01390329,0.01070219,0.00470917,-21.86226393,-0.00074676,0.16138016,0.29426179,0.06323082,0.16608932,-21.56800214,0.06248405,0.16329159,-21.57307867,0.05641848,0.00124649,0.00031078,0.00149207,0.00047334,0.01365398,-0.01108822
0.480,0.00014631,0.78535617,2.35612946,0.00090516,-0.00025981,-0.00040229,0.00369451,-0.00106046,-0.00164201,-0.00109605,0.78491959,2.35476070,0.00062137,-0.01363584,0.01101054,0.00480320,-21.86236717,-0.00079185,0.16203651,0.29882711,0.06309236,0.16683971,-21.56354006,0.06230051,0.16490882,-21.56695372,0.05650134,0.00124236,0.00043658,0.00136876,0.00028379,0.01337603,-0.01141283
0.490,0.00015555,0.78535352,2.35612536,0.00094246,-0.00027052,-0.00041887,0.00376661,-0.00108116,-0.00167405,-0.00108068,0.78479461,2.35488257,0.00085034,-0.01335155,0.01130484,0.00489699,-21.86247474,-0.00083868,0.16227113,0.30250442,0.06276207,0.16716812,-21.55997032,0.06192340,0.16608932,-21.56175281,0.05639019,0.00123623,0.00055891,0.00124279,0.00009212,0.01308103,-0.01172371
