t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.230,-0.00017430,0.78534325,2.35628522,-0.00225141,-0.00070935,0.00117196,-0.01919488,-0.00604770,0.00999185,-0.00027565,0.78897414,2.35805703,0.00241541,-0.02136605,-0.00586212,-0.05229435,-21.90087219,-0.19303216,-0.05229435,-21.90087219,-0.19303216,-0.04250676,-21.92410555,-0.38334586,0.00010135,-0.00363089,-0.00177181,-0.00466682,0.02065670,0.00703408
0.240,-0.00019779,0.78533585,2.35629745,-0.00244727,-0.00077106,0.00127392,-0.01997774,-0.00629436,0.01039937,-0.00025133,0.78877980,2.35777435,0.00241975,-0.02088316,-0.01146351,-0.05716327,-21.88342977,-0.09201726,-0.05716327,-21.88342977,-0.09201726,-0.04740723,-21.90747293,-0.28134549,0.00005354,-0.00344395,-0.00147690,-0.00486702,0.02011210,0.01273743
0.250,-0.00022327,0.78532782,2.35631071,-0.00265095,-0.00083523,0.00137994,-0.02075635,-0.00653967,0.01080467,-0.00022758,0.78858695,2.35746911,0.00240836,-0.02048355,-0.01622879,-0.06200946,-21.86353784,0.00428054,-0.06200946,-21.86353784,0.00428054,-0.05229435,-21.89122982,-0.17776985,0.00000431,-0.00325913,-0.00115840,-0.00505931,0.01964832,0.01760873
0.260,-0.00025083,0.78531913,2.35632506,-0.00286239,-0.00090185,0.00149001,-0.02153072,-0.00678365,0.01120777,-0.00020459,0.78839397,2.35715361,0.00238123,-0.02018705,-0.02005899,-0.06682880,-21.84018333,0.09303468,-0.06682880,-21.84018333,0.09303468,-0.05716327,-21.87378101,-0.07624247,-0.00004624,-0.00307484,-0.00082855,-0.00524362,0.01928520,0.02154900
0.270,-0.00028055,0.78530977,2.35634053,-0.00308155,-0.00097090,0.00160409,-0.02230086,-0.00702630,0.01160867,-0.00018249,0.78819939,2.35683950,0.00233834,-0.02000492,-0.02289709,-0.07161686,-21.81267613,0.17193434,-0.07161686,-21.81267613,0.17193434,-0.06200946,-21.85380857,0.01998623,-0.00009806,-0.00288962,-0.00049897,-0.00541989,0.01903402,0.02450118
0.280,-0.00031249,0.78529971,2.35635716,-0.00330839,-0.00104237,0.00172217,-0.02306678,-0.00726761,0.01200736,-0.00016145,0.78800193,2.35653734,0.00227970,-0.01994027,-0.02472669,-0.07636827,-21.78065954,0.23923281,-0.07636827,-21.78065954,0.23923281,-0.06682880,-21.83031018,0.10814244,-0.00015104,-0.00270222,-0.00018018,-0.00558809,0.01889790,0.02644886
0.290,-0.00034674,0.78528892,2.35637498,-0.00354287,-0.00111625,0.00184423,-0.02382847,-0.00750760,0.01240386,-0.00014163,0.78780059,2.35625637,0.00220531,-0.01998865,-0.02556924,-0.08107935,-21.74409403,0.29376055,-0.08107935,-21.74409403,0.29376055,-0.07161686,-21.80260922,0.18598278,-0.00020511,-0.00251167,0.00011861,-0.00574818,0.01887240,0.02741347
0.300,-0.00038337,0.78527738,2.35639405,-0.00378494,-0.00119252,0.00197024,-0.02458596,-0.00774626,0.01279817,-0.00012318,0.78759469,2.35600425,0.00211521,-0.02013904,-0.02547994,-0.08574565,-21.70323068,0.33492366,-0.08574565,-21.70323068,0.33492366,-0.07636827,-21.77036444,0.25183884,-0.00026019,-0.00231731,0.00038980,-0.00590015,0.01894652,0.02745018
0.310,-0.00042246,0.78526506,2.35641440,-0.00403457,-0.00127117,0.00210019,-0.02533925,-0.00798360,0.01319029,-0.00010626,0.78738386,2.35578694,0.00200945,-0.02037488,-0.02454282,-0.09036391,-21.65858188,0.36266636,-0.09036391,-21.65858188,0.36266636,-0.08107935,-21.73355284,0.30462628,-0.00031620,-0.00211880,0.00062746,-0.00604402,0.01910371,0.02664301
0.320,-0.00046409,0.78525194,2.35643607,-0.00429172,-0.00135218,0.00223404,-0.02608834,-0.00821961,0.01358023,-0.00009102,0.78716810,2.35560862,0.00188816,-0.02067533,-0.02286502,-0.09493138,-21.61087476,0.37742917,-0.09493138,-21.61087476,0.37742917,-0.08574565,-21.69244234,0.34383946,-0.00037307,-0.00191616,0.00082745,-0.00617988,0.01932315,0.02509906
0.330,-0.00050832,0.78523801,2.35645910,-0.00455633,-0.00143555,0.00237179,-0.02683324,-0.00845431,0.01396799,-0.00007760,0.78694769,2.35547174,0.00175148,-0.02101658,-0.02057072,-0.09944478,-21.56100526,0.38008617,-0.09944478,-21.56100526,0.38008617,-0.09036391,-21.64756172,0.36951027,-0.00043072,-0.00170968,0.00098736,-0.00630781,0.01958103,0.02294251
0.340,-0.00055524,0.78522322,2.35648352,-0.00482837,-0.00152127,0.00251340,-0.02757396,-0.00868769,0.01435357,-0.00006616,0.78672326,2.35537706,0.00159962,-0.02137312,-0.01779500,-0.10390355,-21.50999707,0.37186977,-0.10390355,-21.50999707,0.37186977,-0.09493138,-21.59965338,0.38216310,-0.00048908,-0.00150004,0.00110646,-0.00642799,0.01985185,0.02030840
0.350,-0.00060491,0.78520757,2.35650938,-0.00510779,-0.00160930,0.00265885,-0.02831051,-0.00891975,0.01473698,-0.00005684,0.78649570,2.35532380,0.00143286,-0.02171905,-0.01467778,-0.10830626,-21.45893236,0.35429562,-0.10830626,-21.45893236,0.35429562,-0.09944478,-21.54962685,0.38274922,-0.00054807,-0.00128813,0.00118558,-0.00654065,0.02010975,0.01733663
0.360,-0.00065742,0.78519103,2.35653671,-0.00539456,-0.00169966,0.00280813,-0.02904289,-0.00915050,0.01511822,-0.00004976,0.78626610,2.35530981,0.00125151,-0.02202917,-0.01135808,-0.11265420,-21.40892159,0.32907293,-0.11265420,-21.40892159,0.32907293,-0.10390355,-21.49851730,0.37256926,-0.00060766,-0.00107507,0.00122690,-0.00664607,0.02032951,0.01416621
0.370,-0.00071283,0.78517357,2.35656555,-0.00568864,-0.00179231,0.00296121,-0.02977111,-0.00937994,0.01549729,-0.00004507,0.78603577,2.35533180,0.00105597,-0.02228008,-0.00796894,-0.11694802,-21.36104738,0.29802523,-0.11694802,-21.36104738,0.29802523,-0.10830626,-21.44741595,0.35319637,-0.00066776,-0.00086220,0.00123375,-0.00674461,0.02048777,0.01093015
0.380,-0.00077122,0.78515518,2.35659595,-0.00598997,-0.00188725,0.00311807,-0.03049519,-0.00960807,0.01587421,-0.00004288,0.78580613,2.35538555,0.00084667,-0.02245103,-0.00463291,-0.12119008,-21.31632269,0.26301055,-0.12119008,-21.31632269,0.26301055,-0.11265420,-21.39743965,0.32638535,-0.00072834,-0.00065095,0.00121040,-0.00683664,0.02056378,0.00775098
0.390,-0.00083265,0.78513582,2.35662793,-0.00629853,-0.00198447,0.00327868,-0.03121511,-0.00983490,0.01624896,-0.00004332,0.78557868,2.35546620,0.00062410,-0.02252463,-0.00145844,-0.12538315,-21.27566384,0.22584128,-0.12538315,-21.27566384,0.22584128,-0.11694802,-21.34967466,0.29399274,-0.00078933,-0.00044286,0.00116173,-0.00692263,0.02054016,0.00473712
0.400,-0.00089721,0.78511548,2.35666153,-0.00661426,-0.00208394,0.00344304,-0.03193091,-0.01006042,0.01662157,-0.00004649,0.78535492,2.35556847,0.00038880,-0.02248735,0.00146293,-0.12953189,-21.23984966,0.18822652,-0.12953189,-21.23984966,0.18822652,-0.12119008,-21.30513494,0.25789703,-0.00085072,-0.00023944,0.00109306,-0.00700306,0.02040341,0.00198011
0.410,-0.00096496,0.78509413,2.35669680,-0.00693713,-0.00218567,0.00361111,-0.03264257,-0.01028465,0.01699202,-0.00005250,0.78513635,2.35568692,0.00014134,-0.02232981,0.00405841,-0.13364060,-21.20951250,0.15171469,-0.13364060,-21.20951250,0.15171469,-0.12538315,-21.26473524,0.21991886,-0.00091246,-0.00004222,0.00100988,-0.00707847,0.02014414,-0.00044730
0.420,-0.00103598,0.78507176,2.35673377,-0.00726710,-0.00228963,0.00378287,-0.03335011,-0.01050757,0.01736033,-0.00006144,0.78492437,2.35581616,-0.00011767,-0.02204695,0.00627496,-0.13771514,-21.18511393,0.11764574,-0.13771514,-21.18511393,0.11764574,-0.12953189,-21.22925047,0.18176422,-0.00097454,0.00014739,0.00091761,-0.00714943,0.01975732,-0.00249209
0.430,-0.00111033,0.78504833,2.35677247,-0.00760412,-0.00239582,0.00395831,-0.03405354,-0.01072920,0.01772650,-0.00007342,0.78472026,2.35595109,-0.00038763,-0.02163793,0.00807943,-0.14176080,-21.16695083,0.08712210,-0.14176080,-21.16695083,0.08712210,-0.13364060,-21.19930708,0.14496827,-0.00103691,0.00032807,0.00082138,-0.00721649,0.01924211,-0.00412112
0.440,-0.00118808,0.78502384,2.35681294,-0.00794815,-0.00250421,0.00413740,-0.03475286,-0.01094953,0.01809053,-0.00008851,0.78452516,2.35608703,-0.00066791,-0.02110592,0.00945791,-0.14578392,-21.15514025,0.06099023,-0.14578392,-21.15514025,0.06099023,-0.13771514,-21.17535897,0.11084907,-0.00109957,0.00049868,0.00072591,-0.00728024,0.01860171,-0.00532051
0.450,-0.00126931,0.78499824,2.35685523,-0.00829916,-0.00261480,0.00432011,-0.03544808,-0.01116857,0.01845243,-0.00010678,0.78434003,2.35621987,-0.00095787,-0.02045778,0.01041442,-0.14979176,-21.14964647,0.03983303,-0.14979176,-21.14964647,0.03983303,-0.14176080,-21.15769415,0.08048012,-0.00116253,0.00065821,0.00063536,-0.00734129,0.01784298,-0.00609431
0.460,-0.00135409,0.78497153,2.35689936,-0.00865710,-0.00272758,0.00450644,-0.03613921,-0.01138633,0.01881219,-0.00012832,0.78416562,2.35634619,-0.00125690,-0.01970355,0.01096902,-0.15379101,-21.15027236,0.02396715,-0.15379101,-21.15027236,0.02396715,-0.14578392,-21.14641981,0.05467382,-0.00122577,0.00080591,0.00055317,-0.00740020,0.01697597,-0.00646258
0.470,-0.00144248,0.78494368,2.35694537,-0.00902193,-0.00284253,0.00469635,-0.03682625,-0.01160279,0.01916983,-0.00015319,0.78400249,2.35646334,-0.00156442,-0.01885594,0.01115551,-0.15778803,-21.15669232,0.01346270,-0.15778803,-21.15669232,0.01346270,-0.14979176,-21.14148992,0.03397555,-0.00128929,0.00094119,0.00048203,-0.00745751,0.01601341,-0.00645916
0.480,-0.00153455,0.78491467,2.35699330,-0.00939361,-0.00295963,0.00488983,-0.03750922,-0.01181797,0.01952535,-0.00018145,0.78385098,2.35656943,-0.00187983,-0.01792969,0.01101873,-0.16178960,-21.16846535,0.00816240,-0.16178960,-21.16846535,0.00816240,-0.15379101,-21.14269690,0.01866294,-0.00135310,0.00106369,0.00042387,-0.00751378,0.01497006,-0.00612890
0.490,-0.00163037,0.78488448,2.35704318,-0.00977210,-0.00307888,0.00508685,-0.03818812,-0.01203187,0.01987875,-0.00021316,0.78371123,2.35666334,-0.00220262,-0.01694097,0.01061186,-0.16580231,-21.18506070,0.00770788,-0.16580231,-21.18506070,0.00770788,-0.15778803,-21.14970491,0.00876709,-0.00141721,0.00117325,0.00037984,-0.00756948,0.01386209,-0.00552501
0.500,-0.00173002,0.78485309,2.35709505,-0.01015736,-0.00320026,0.00528739,-0.03886295,-0.01224449,0.02023003,-0.00024838,0.78358319,2.35674472,-0.00253228,-0.01590674,0.00999342,-0.16983299,-21.20588073,0.01157613,-0.16983299,-21.20588073,0.01157613,-0.16178960,-21.16206332,0.00409334,-0.00148164,0.00126990,0.00035033,-0.00762508,0.01270648,-0.00470603
0.510,-0.00183354,0.78482047,2.35714894,-0.01054935,-0.00332377,0.00549144,-0.03953373,-0.01245583,0.02057920,-0.00028714,0.78346663,2.35681390,-0.00286835,-0.01484413,0.00922458,-0.17388612,-21.23028884,0.01911333,-0.17388612,-21.23028884,0.01911333,-0.16580231,-21.17923254,0.00424884,-0.00154640,0.00135384,0.00033504,-0.00768100,0.01152036,-0.00373314
0.520,-0.00194103,0.78478661,2.35720489,-0.01094802,-0.00344938,0.00569897,-0.04020046,-0.01266590,0.02092627,-0.00032951,0.78336115,2.35687182,-0.00321043,-0.01376990,0.00836645,-0.17796865,-21.25762549,0.02957564,-0.17796865,-21.25762549,0.02957564,-0.16983299,-21.20060713,0.00868010,-0.00161152,0.00142546,0.00033307,-0.00773759,0.01032052,-0.00266748
0.530,-0.00205253,0.78475148,2.35726293,-0.01135334,-0.00357708,0.00590996,-0.04086315,-0.01287469,0.02127123,-0.00037552,0.78326626,2.35691994,-0.00355815,-0.01269991,0.00747771,-0.18208429,-21.28724027,0.04216485,-0.18208429,-21.28724027,0.04216485,-0.17388612,-21.22554387,0.01670759,-0.00167701,0.00148522,0.00034299,-0.00779519,0.00912283,-0.00156775
0.540,-0.00216811,0.78471506,2.35732310,-0.01176527,-0.00370687,0.00612439,-0.04152181,-0.01308221,0.02161409,-0.00042523,0.78318130,2.35696011,-0.00391120,-0.01164872,0.00661253,-0.18623769,-21.31850561,0.05606792,-0.18623769,-21.31850561,0.05606792,-0.17796865,-21.25337792,0.02756716,-0.00174288,0.00153376,0.00036299,-0.00785407,0.00794185,-0.00048814
0.550,-0.00228785,0.78467733,2.35738543,-0.01218377,-0.00383872,0.00634224,-0.04217644,-0.01328847,0.02195486,-0.00047866,0.78310560,2.35699449,-0.00426931,-0.01062923,0.00581887,-0.19043346,-21.35083465,0.07048795,-0.19043346,-21.35083465,0.07048795,-0.18208429,-21.28345489,0.04044591,-0.00180919,0.00157173,0.00039094,-0.00791446,0.00679051,0.00052337
0.560,-0.00241181,0.78463828,2.35744995,-0.01260879,-0.00397263,0.00656348,-0.04282705,-0.01349346,0.02229353,-0.00053587,0.78303838,2.35702541,-0.00463226,-0.00965244,0.00513719,-0.19467462,-21.38369543,0.08467563,-0.19467462,-21.38369543,0.08467563,-0.18623769,-21.31514457,0.05452184,-0.00187594,0.00159990,0.00042454,-0.00797653,0.00567981,0.00142629
